Const,Created,Description,Title,Original Title,URL,Title Type,Genres,Your Rating,Date Rated,Formato
tt0203009,2023-04-29,,Moulin Rouge,Moulin Rouge!,https://www.imdb.com/title/tt0203009/,Película,"Drama, Musical, Romance",7,2023-04-30,br
tt2592614,2023-06-19,,Resident Evil: El capítulo final,Resident Evil: The Final Chapter,https://www.imdb.com/title/tt2592614/,Película,"Acción, Terror, Ciencia ficción, Suspense",6,2017-04-14,br
tt2911666,2023-07-02,,John Wick (Otro día para matar),John Wick,https://www.imdb.com/title/tt2911666/,Película,"Acción, Crimen, Suspense",8,2017-02-18,br
tt1598778,2023-07-08,,Contagio,Contagion,https://www.imdb.com/title/tt1598778/,Película,"Drama, Suspense",7,2020-03-30,br
tt1130884,2023-08-20,,Shutter Island,Shutter Island,https://www.imdb.com/title/tt1130884/,Película,"Drama, Misterio, Suspense",8,2023-10-02,br
tt1437358,2023-08-20,,Mientras duermes,Mientras duermes,https://www.imdb.com/title/tt1437358/,Película,"Crimen, Drama, Suspense",9,2023-09-01,br
tt1630029,2023-09-03,,Avatar: El sentido del agua,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,Película,"Animación, Acción, Aventura, Fantasía, Ciencia ficción",6,2024-02-18,br
tt1992386,2023-09-07,Game 6€,Black Lagoon: Roberta's Blood Trail,Black Lagoon: Roberta's Blood Trail,https://www.imdb.com/title/tt1992386/,MiniSerie,"Animación, Acción, Aventura, Crimen, Drama, Suspense",7,2024-02-18,br
tt3263904,2023-10-20,Cex 6€,Sully,Sully,https://www.imdb.com/title/tt3263904/,Película,"Biografía, Drama",8,2016-12-26,br
tt1403177,2023-10-27,Amazon 10€,Hesher,Hesher,https://www.imdb.com/title/tt1403177/,Película,"Comedia, Drama",8,2025-11-12,br
tt0332379,2023-11-26,,Escuela de rock,School of Rock,https://www.imdb.com/title/tt0332379/,Película,"Comedia, Música",8,2019-05-13,br
tt6264654,2023-11-27,,Free Guy,Free Guy,https://www.imdb.com/title/tt6264654/,Película,"Acción, Aventura, Comedia, Fantasía, Romance, Ciencia ficción",6,2021-09-30,br
tt0369702,2023-11-28,,Mar adentro,Mar adentro,https://www.imdb.com/title/tt0369702/,Película,"Biografía, Drama",7,2024-10-21,br
tt0477348,2023-11-28,,No es país para viejos,No Country for Old Men,https://www.imdb.com/title/tt0477348/,Película,"Crimen, Drama, Suspense",8,2023-12-25,br
tt3833480,2023-11-28,,The Outpost,The Outpost,https://www.imdb.com/title/tt3833480/,Película,"Acción, Drama, Historia, Bélico",8,2020-07-12,br
tt0120863,2023-11-28,,La delgada línea roja,The Thin Red Line,https://www.imdb.com/title/tt0120863/,Película,"Drama, Historia, Bélico",,,br
tt5433140,2023-11-28,,Fast & Furious X,Fast X,https://www.imdb.com/title/tt5433140/,Película,"Acción, Aventura, Crimen, Misterio, Suspense",8,2023-06-17,br
tt0265086,2023-11-28,,Black Hawk derribado,Black Hawk Down,https://www.imdb.com/title/tt0265086/,Película,"Acción, Drama, Historia, Bélico",8,2022-02-15,br
tt0363547,2023-12-03,,Amanecer de los muertos,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,Película,"Acción, Terror",8,2021-06-17,br
tt0094737,2023-12-07,Fnac 12.95€,Big,Big,https://www.imdb.com/title/tt0094737/,Película,"Comedia, Drama, Fantasía, Romance",8,2021-03-30,br
tt0319061,2023-12-17,Cex 5€,Big Fish,Big Fish,https://www.imdb.com/title/tt0319061/,Película,"Aventura, Drama, Fantasía, Romance",7,2025-02-13,br
tt2229499,2024-01-27,CEX 4€,Don Jon,Don Jon,https://www.imdb.com/title/tt2229499/,Película,"Comedia, Drama, Romance",7,2021-10-02,br
tt1591479,2024-03-14,Cex 6€,Acto de valor,Act of Valor,https://www.imdb.com/title/tt1591479/,Película,"Acción, Aventura, Suspense, Bélico",7,2024-03-30,br
tt1823672,2024-04-05,Cex 12€,Chappie,Chappie,https://www.imdb.com/title/tt1823672/,Película,"Acción, Crimen, Drama, Ciencia ficción, Suspense",8,2024-01-12,br
tt0120804,2024-04-20,Cex 8€,Resident Evil,Resident Evil,https://www.imdb.com/title/tt0120804/,Película,"Acción, Terror, Ciencia ficción",6,2012-04-04,br
tt21881982,2024-04-21,ECI 13.3€,Campeonex,Campeonex,https://www.imdb.com/title/tt21881982/,Película,"Comedia, Deporte",6,2024-07-28,br
tt9484998,2024-04-24,Amazon 12€,Palm Springs,Palm Springs,https://www.imdb.com/title/tt9484998/,Película,"Comedia, Fantasía, Misterio, Romance, Ciencia ficción",7,2020-07-22,br
tt1853728,2024-06-08,Cex 6€,Django desencadenado,Django Unchained,https://www.imdb.com/title/tt1853728/,Película,"Drama, Del oeste",8,2013-04-07,br
tt0332452,2024-09-01,Regalo,Troya,Troy,https://www.imdb.com/title/tt0332452/,Película,"Acción, Aventura, Drama",,,br
tt5052474,2024-09-01,Regalo,Sicario: El día del soldado,Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/,Película,"Acción, Crimen, Drama, Misterio, Suspense",8,2024-09-24,br
tt0887912,2024-09-04,Cex 3€,En tierra hostil,The Hurt Locker,https://www.imdb.com/title/tt0887912/,Película,"Drama, Suspense, Bélico",7,2022-09-23,br
tt4866712,2024-09-18,Cex 5€,El pregón,El pregón,https://www.imdb.com/title/tt4866712/,Película,"Comedia, Musical",6,2025-02-13,br
tt1636826,2024-11-30,Cex 6€,Project X,Project X,https://www.imdb.com/title/tt1636826/,Película,"Comedia, Suspense",6,2012-07-08,br
tt5390504,2024-12-23,Cex 8€,Detroit,Detroit,https://www.imdb.com/title/tt5390504/,Película,"Crimen, Drama, Historia, Suspense",7,2025-10-27,br
tt18412256,2025-01-06,Regalo reyes,Alien: Romulus,Alien: Romulus,https://www.imdb.com/title/tt18412256/,Película,"Terror, Ciencia ficción, Suspense",8,2024-10-28,br
tt0418763,2025-01-18,Cex 6€,Jarhead - El infierno espera,Jarhead,https://www.imdb.com/title/tt0418763/,Película,"Biografía, Drama, Bélico",8,2013-04-28,br
tt0382625,2025-01-18,Cex 5€,El código Da Vinci,The Da Vinci Code,https://www.imdb.com/title/tt0382625/,Película,"Misterio, Suspense",6,2023-01-06,br
tt0808151,2025-01-18,Cex 5€,Ángeles y demonios,Angels & Demons,https://www.imdb.com/title/tt0808151/,Película,"Misterio, Suspense",7,2025-02-13,br
tt0421715,2025-02-08,Cex 4€,El curioso caso de Benjamin Button,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,Película,"Drama, Fantasía, Romance",,,br
tt18259086,2025-05-30,Cex 15€,Sonic 3: La película,Sonic the Hedgehog 3,https://www.imdb.com/title/tt18259086/,Película,"Acción, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción",8,2025-02-03,br
tt0475394,2025-05-30,Cex 5€,Ases calientes,Smokin' Aces,https://www.imdb.com/title/tt0475394/,Película,"Acción, Comedia, Crimen, Drama, Suspense",,,br
tt0360486,2025-07-18,Amazon 12.93€,Constantine,Constantine,https://www.imdb.com/title/tt0360486/,Película,"Acción, Fantasía, Terror, Misterio",7,2018-10-02,br
tt1855325,2025-07-26,Cex,Resident Evil: Venganza,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/,Película,"Acción, Terror, Ciencia ficción, Suspense",7,2013-01-26,br
